Id,Predictions
1,1982.7661738334593
2,1997.9328516950848
3,2000.4141891926479
4,2007.4150124744792
5,2005.8667802419293
6,1997.3223444566547
7,2005.315244119852
8,1991.9459128629364
9,2006.5931969491066
10,1996.2870897452901
11,1980.6508600329053
12,2005.4381199078925
13,2005.454420410113
14,1991.707189671802
15,2004.9138069934977
16,1999.3242611210562
17,1989.1229022110624
18,1989.8275732321335
19,2002.6921452417923
20,1999.3281674505872
21,1994.7943769654653
22,1996.8734069978611
23,2000.0895182457825
24,2002.779646023712
25,1996.6902747247973
26,1999.8355004796474
27,1993.7690298957693
28,2003.6039840046708
29,2004.8324060804555
30,2001.3676954349962
31,2001.3737647846408
32,2001.1015307915138
33,2004.8022797122376
34,2003.84931036335
35,2003.397256688004
36,1998.7997951003344
37,1994.8000360655344
38,1994.9914187307215
39,1995.1199258503746
40,2005.2241666988818
41,1980.6508600329053
42,2002.5465750634453
43,2008.6888969596068
44,1997.6770891358594
45,2005.7955099690814
46,2004.7839481265253
47,1999.341678366983
48,2008.6687029104708
49,1985.677743766413
50,2006.654351551575
51,1988.5748633535075
52,2004.1416555403368
53,1991.9172740080637
54,2000.2433393116119
55,1991.5529240280123
56,2005.1695226825611
57,1993.6460301073382
58,1996.8129764012394
59,2002.078283379808
60,1996.8545525554214
61,1989.822784167343
62,1991.222558235161
63,2004.769034807356
64,1998.93265627548
65,2004.9295325013693
66,2002.1883933050872
67,1988.1695649391158
68,2006.2217623377874
69,1986.9769571616264
70,2000.4530152482957
71,2005.8677725837492
72,2008.165963399448
73,1989.8629904025865
74,1995.3380646456412
75,1995.245889173442
76,2006.0305105254934
77,2008.625970131748
78,1996.6444576023514
79,2004.997889850129
80,1997.4629003195994
81,2004.0413656617557
82,2005.522907750254
83,1990.9730816277827
84,2006.70881291295
85,1993.279020094555
86,2004.219247602157
87,2008.678237745658
88,1992.0752657830442
89,2004.384420336629
90,1979.4637586523736
91,1998.0939575352293
92,1995.077614796269
93,1986.212824907333
94,1993.4414344910117
95,1997.5865042082878
96,2003.053122279438
97,1995.8758826330368
98,1993.894759946776
99,2004.4843159553097
100,2006.690751064717
101,2004.3745022992157
102,1993.4529395980278
103,1988.2670036348445
104,2007.9421598671427
105,2002.8130903440856
106,2003.1513621589256
107,2002.2210515604527
108,2000.6725394062712
109,2007.5384544817935
110,1993.548857364209
111,1991.5981746627838
112,2004.1602672346278
113,1982.2629719330978
114,1985.1299145367718
115,1995.151298322471
116,2002.1129763375675
117,1990.9295936434348
118,2003.7807198644298
119,1997.8848281367007
120,2001.3737192727679
